gas_price,gas_used,nonce
118617067176,257602,10788
33897008403,148227,24641
6716151278,162270,6
10867443462,279184,10850
10867443462,308300,10696
10903624063,242584,10932
1200000000000,200000,12786
11449116287,239000,379
1200000000000,200000,12785
125000000000,230905,1863
7935561902,63605,861
9003709993,127546,286
10202840322,247806,10744
6618634017,189645,1300
7214140626,80131,9495
12442822674,263906,938
8337455547,255902,92993
7658303698,2000000,943
20508030133,177806,85502
12981701878,230721,1710
9082056026,227961,8781
17000000000,210000,19
118687290888,150876,33846
10654503956,364669,231
5558303698,170406,33845
5558303698,193275,85501
7293386586,77954,9433
8022732537,90565,54554
8022732537,63574,415
9991001822,628421,1401
8205807097,80000,20
8205807097,310247,19
8205807097,21000,21
26947978061,281332,22922
9505305803,298885,2728
26641671333,300002,162392
9440079879,241136,89627
8106989620,27938,179
8998218012,63301,206
7423837188,291908,41
7636327020,233188,101235
8238342228,222182,74922
14179557942,167737,641
8238342228,252844,92031
8238342228,248204,111382
9000000000,330000,15
17783173056,184218,4904
9238342229,267166,99877
8238342228,221992,89626
19115440770,600000,1669
25106757591,500000,1780
29247588043,181170,4455
8238342228,236558,100223
9863460085,308322,3562
35183787641,300003,162390
9383173833,257602,10476
9492972682,223072,10455
9539034198,700000,10907
18453291040,247680,10889
11539269576,500000,4838
13015296494,21015,162388
12000000000,888327,10
14000000000,94690,3287
18000000000,210000,17
29480000000,200000,1186228
40000000000,21000,1698
50000000000,48792,4
250000000000,23100,38291
250000000000,23100,38290
6582041319,227786,74660
6582041319,234358,89624
6582041319,229926,103015
7822349945,115453,9432
6405946117,330895,45497
6219897740,400000,2
8759668456,251314,79665
